	name	ores_score
742	Joseph Houssa	Stub
743	Vincent Houssiau	Start
744	Pierre Van Humbeeck	Stub
745	Dorah Ilunga	Start
746	Pierre Imperiali	Stub
747	Jean-François Istasse	Stub
748	Milou Jeunehomme	Stub
749	André Kempinaire	Stub
750	Willy Kuijpers	Stub
751	Rachid Madrane	Start
752	Luc Michel	Start
753	Fientje Moerman	Start
754	André Molitor	Start
755	Jean Pede	Start
756	Jean-Marie Piret	Start
757	André-Eugène Pirson	Start
758	Philippe-Ambroise d'Olmen, Baron de Poederlé	Stub
759	Marjet Van Puymbroeck	Stub
760	Jean Richardot the Younger	Start
761	Gustave Rolin-Jaequemyns	C
762	Hippolyte Rolin	Stub
763	Father Samuel	Start
764	Louis-Joseph Seutin	Start
765	Alfons Siffer	Start
766	Cyrille Tahay	Stub
767	Jacques Timmermans	Stub
768	Robert Urbain	Stub
769	Jacques Van Gompel	Start
770	Marcel Van Langenhove (referee)	Stub
771	Johan Verbeke	Start
772	Lodewijk Verreycken	Start
773	Louis Waltniel	Stub
774	Yves de Wasseige	Start
775	Jacques van Ypersele de Strihou	C
776	Beverly Castillo	Stub
777	Elfreda Reyes	C
778	Bert Tucker	C
779	Michel Ahouanmènou	Start
780	Arnauld Antoine Akodjènou	C
781	Jules-Armand Aniambossou	Start
782	Pascal Chabi Kao	Start
783	Francis Covi	Stub
784	Joachim Dahissiho	Stub
785	Adrien Degbey	C
786	Luc Gnacadja	C
787	Paul Hazoumé	Start
788	Louis Hunkanrin	C
789	Louis Ignacio-Pinto	Stub
790	Arouna Mama	Start
791	Moussa Okanla	Start
792	Assogba Oké	Start
793	Émile Poisson	Stub
794	Maximilien Quenum-Possy-Berry	Start
795	Nicéphore Soglo	GA
796	Dorjee Wangmo	Stub
797	Ugyen Dorji (DNT politician)	Start
798	Zangley Dukpa	Stub
799	Dupthob	Stub
800	Pema Gyamtsho	Start
801	Choki Gyeltshen	Stub
802	Sherub Gyeltshen	Start
803	Choida Jamtsho	Start
804	Rinzin Jamtsho	Stub
805	Kunzang C. Namgyel	Start
806	Shingkhar Lam	Start
807	Tshewang Lhamo	Start
808	Kuenga Loday	Stub
809	Dorji Namgyal	Stub
810	Jigme Namgyal (Bhutan)	C
811	Wangdi Norbu	Stub
812	Kinga Penjor	Stub
813	Yeshey Penjor	Start
814	Thakur S. Powdyel	C
815	Jai Bir Rai	Start
816	Karma Rangdol	Stub
817	Loknath Sharma	Start
818	Tenzin (politician)	Stub
819	Sonam Tobgye	Start
820	Dorji Tshering	Start
821	Kinga Tshering	Start
822	Namgay Tshering	Start
823	Ugyen Tshering	Stub
824	Jigme Wangchuk	Stub
825	Lhatu Wangchuk	Stub
826	Khandu Wangchuk	Start
827	Norbu Wangchuk	Stub
828	Tshering Wangchuk	Start
829	Karma Donnen Wangdi	Start
830	Tshencho Wangdi	Start
831	Ugyen Wangdi	Stub
832	Dechen Wangmo (politician)	Start
833	Dechen Zangmo	Stub
834	Neten Zangmo	Start
835	Nidup Zangpo	Stub
836	Yeshey Zimba	Start
